case_id,method,dice_ET,guard_branch,guard_reason,vol_pred,evidence_lcc_fraction,evidence_pred_enhancement,evidence_init_enhancement,evidence_enhancement_ratio,evidence_volume_multiple,evidence_accept
BraTS-GLI-00020-100,level_set,0.1535,evolved,accepted,60171,,,,,,
BraTS-GLI-00020-100,variational_spline,0.1535,evolved,accepted,60171,,,,,,
BraTS-GLI-00020-100,bspline,0.1535,evolved,accepted,60171,,,,,,
BraTS-GLI-00020-100,spline,0.1535,evolved,accepted,60171,,,,,,
BraTS-GLI-00469-100,level_set,0.6772,evolved,accepted,18135,,,,,,
BraTS-GLI-00469-100,variational_spline,0.5305,evolved,accepted,13107,,,,,,
BraTS-GLI-00469-100,bspline,0.6366,evolved,accepted,17851,,,,,,
BraTS-GLI-00469-100,spline,0.6851,evolved,accepted,22806,,,,,,
BraTS-GLI-00506-100,level_set,0.3559,collapse-detected,collapsed_small,42941,,,,,,
BraTS-GLI-00506-100,variational_spline,0.3559,collapse-detected,empty_prediction,42941,,,,,,
BraTS-GLI-00506-100,bspline,0.3559,collapse-detected,collapsed_small,42941,,,,,,
BraTS-GLI-00506-100,spline,0.1358,evolved,accepted,17395,,,,,,
BraTS-GLI-00528-100,level_set,0.3611,evolved,accepted,229395,,,,,,
BraTS-GLI-00528-100,variational_spline,0.3611,evolved,accepted,229395,,,,,,
BraTS-GLI-00528-100,bspline,0.3611,evolved,accepted,229395,,,,,,
BraTS-GLI-00528-100,spline,0.3611,evolved,accepted,229395,,,,,,
BraTS-GLI-00533-100,level_set,0.0,collapse-detected,collapsed_small,15501,,,,,,
BraTS-GLI-00533-100,variational_spline,0.0,collapse-detected,empty_prediction,15501,,,,,,
BraTS-GLI-00533-100,bspline,0.0,collapse-detected,collapsed_small,15501,,,,,,
BraTS-GLI-00533-100,spline,0.0,evolved,accepted,16882,,,,,,
BraTS-GLI-02066-100,level_set,0.7279,evolved,accepted,23435,,,,,,
BraTS-GLI-02066-100,variational_spline,0.7633,evolved,accepted,17906,,,,,,
BraTS-GLI-02066-100,bspline,0.7199,evolved,accepted,16563,,,,,,
BraTS-GLI-02066-100,spline,0.6843,evolved,accepted,44531,,,,,,
BraTS-GLI-02071-100,level_set,0.4675,evolved,accepted,10902,,,,,,
BraTS-GLI-02071-100,variational_spline,0.547,evolved,accepted,14978,,,,,,
BraTS-GLI-02071-100,bspline,0.5009,evolved,accepted,13871,,,,,,
BraTS-GLI-02071-100,spline,0.7288,evolved,accepted,24675,,,,,,
BraTS-GLI-02078-100,level_set,0.0,collapse-detected,collapsed_small,13220,,,,,,
BraTS-GLI-02078-100,variational_spline,0.0,collapse-detected,empty_prediction,13220,,,,,,
BraTS-GLI-02078-100,bspline,0.0,collapse-detected,collapsed_small,13220,,,,,,
BraTS-GLI-02078-100,spline,0.0,evolved,accepted,5581,,,,,,
BraTS-GLI-02086-100,level_set,0.2154,evolved,accepted,3199,,,,,,
BraTS-GLI-02086-100,variational_spline,0.4643,evolved,accepted,8555,,,,,,
BraTS-GLI-02086-100,bspline,0.4346,evolved,accepted,8191,,,,,,
BraTS-GLI-02086-100,spline,0.486,evolved,accepted,8473,,,,,,
BraTS-GLI-02102-100,level_set,0.4821,evolved,accepted,35731,,,,,,
BraTS-GLI-02102-100,variational_spline,0.4821,evolved,accepted,35731,,,,,,
BraTS-GLI-02102-100,bspline,0.4821,evolved,accepted,35731,,,,,,
BraTS-GLI-02102-100,spline,0.4821,evolved,accepted,35731,,,,,,
BraTS-GLI-02108-100,level_set,0.5378,collapse-detected,collapsed_small,44395,,,,,,
BraTS-GLI-02108-100,variational_spline,0.8794,evolved,accepted,87696,,,,,,
BraTS-GLI-02108-100,bspline,0.8195,evolved,accepted,77566,,,,,,
BraTS-GLI-02108-100,spline,0.3709,evolved,accepted,22866,,,,,,
BraTS-GLI-02116-100,level_set,0.4481,collapse-detected,collapsed_small,37589,,,,,,
BraTS-GLI-02116-100,variational_spline,0.7473,evolved,accepted_evidence_seed_divergence,46954,,,,,,
BraTS-GLI-02116-100,bspline,0.4481,collapse-detected,low_seed_overlap,37589,,,,,,
BraTS-GLI-02116-100,spline,0.3694,evolved,accepted,27078,,,,,,
BraTS-GLI-02118-100,level_set,0.7732,evolved,accepted,29131,,,,,,
BraTS-GLI-02118-100,variational_spline,0.8308,evolved,accepted,33768,,,,,,
BraTS-GLI-02118-100,bspline,0.7785,evolved,accepted,30889,,,,,,
BraTS-GLI-02118-100,spline,0.7952,evolved,accepted,55103,,,,,,
BraTS-GLI-02139-100,level_set,0.7808,collapse-detected,collapsed_small,22054,,,,,,
BraTS-GLI-02139-100,variational_spline,0.7808,collapse-detected,empty_prediction,22054,,,,,,
BraTS-GLI-02139-100,bspline,0.7808,collapse-detected,collapsed_small,22054,,,,,,
BraTS-GLI-02139-100,spline,0.5835,evolved,accepted,15938,,,,,,
BraTS-GLI-02143-100,level_set,0.3957,collapse-detected,collapsed_small,22368,,,,,,
BraTS-GLI-02143-100,variational_spline,0.3703,evolved,accepted,12548,,,,,,
BraTS-GLI-02143-100,bspline,0.4064,evolved,accepted,14503,,,,,,
BraTS-GLI-02143-100,spline,0.3649,evolved,accepted,20181,,,,,,
BraTS-GLI-02151-100,level_set,0.5662,collapse-detected,collapsed_small,15929,,,,,,
BraTS-GLI-02151-100,variational_spline,0.7433,evolved,accepted,25592,,,,,,
BraTS-GLI-02151-100,bspline,0.4405,evolved,accepted,12200,,,,,,
BraTS-GLI-02151-100,spline,0.5656,evolved,accepted,16411,,,,,,
BraTS-GLI-02156-100,level_set,0.2994,evolved,accepted,195929,,,,,,
BraTS-GLI-02156-100,variational_spline,0.2994,evolved,accepted,195929,,,,,,
BraTS-GLI-02156-100,bspline,0.2994,evolved,accepted,195929,,,,,,
BraTS-GLI-02156-100,spline,0.2994,evolved,accepted,195929,,,,,,
BraTS-GLI-02157-100,level_set,0.5439,evolved,accepted,11255,,,,,,
BraTS-GLI-02157-100,variational_spline,0.6974,evolved,accepted,21213,,,,,,
BraTS-GLI-02157-100,bspline,0.6373,evolved,accepted,19050,,,,,,
BraTS-GLI-02157-100,spline,0.7896,evolved,accepted,20710,,,,,,
BraTS-GLI-02158-100,level_set,0.6234,evolved,accepted,25181,,,,,,
BraTS-GLI-02158-100,variational_spline,0.8077,evolved,accepted,43072,,,,,,
BraTS-GLI-02158-100,bspline,0.7463,evolved,accepted,39996,,,,,,
BraTS-GLI-02158-100,spline,0.6518,evolved,accepted,33494,,,,,,
BraTS-GLI-02169-100,level_set,0.7001,evolved,accepted,19394,,,,,,
BraTS-GLI-02169-100,variational_spline,0.6196,collapse-detected,collapsed_small,49134,,,,,,
BraTS-GLI-02169-100,bspline,0.6196,collapse-detected,collapsed_small,49134,,,,,,
BraTS-GLI-02169-100,spline,0.4926,evolved,accepted,24857,,,,,,
